統計項目,資料期(民國年),統計值(美元),計量單位(美元),統計值(新台幣),計量單位(新台幣)
外銷訂單金額,08702,9621,百萬美元,3155,新臺幣億元
外銷訂單金額,08703,10186,百萬美元,3308,新臺幣億元
外銷訂單金額,08704,10011,百萬美元,3301,新臺幣億元
外銷訂單金額,08705,10042,百萬美元,3361,新臺幣億元
外銷訂單金額,08706,10118,百萬美元,3485,新臺幣億元
外銷訂單金額,08707,9924,百萬美元,3410,新臺幣億元
外銷訂單金額,08708,9978,百萬美元,3461,新臺幣億元
外銷訂單金額,08709,10376,百萬美元,3587,新臺幣億元
外銷訂單金額,08710,10380,百萬美元,3428,新臺幣億元
外銷訂單金額,08711,9749,百萬美元,3170,新臺幣億元
